Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
365682,Medical treatment,2019,August,Sunday,20,Hit animal,Other,151.552781547667,-24.4054452768096,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,609.0,Pass & Misc: Hit Animal,Hit animal,N,0,0,1,0,1,1,0,0,0,0,0,0
365683,Medical treatment,2019,August,Wednesday,12,Struck by external load,Other,151.590110538051,-24.4596182807833,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,610.0,Pass & Misc: Load Hit Vehicle,Other,S,0,0,1,0,1,1,0,1,0,0,0,0
365684,Hospitalisation,2019,September,Sunday,23,Hit animal,Other,151.549920547122,-24.4126592765985,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,609.0,Pass & Misc: Hit Animal,Hit animal,N,0,1,0,1,2,1,0,0,0,0,0,0
365685,Medical treatment,2019,September,Sunday,20,Hit animal,Other,151.646039518405,-24.586599287122,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Gindoran,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,609.0,Pass & Misc: Hit Animal,Hit animal,W,0,0,1,0,1,1,0,0,0,0,0,0
365686,Medical treatment,2019,October,Thursday,9,Hit object,Single Vehicle,151.769702536419,-24.3255792967412,Round Hill Rd,Unknown,,Captain Creek,Gladstone Region,4677,Agnes Water,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,805.0,Off Path-Curve: Out Of Control On Cway,Out of control on curve,E,0,0,1,0,1,1,0,0,0,0,0,0
365687,Medical treatment,2019,October,Saturday,7,Overturned,Single Vehicle,151.552722545709,-24.4228682769469,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,502.0,Veh'S Overtaking: Out Of Control,Off carriageway on straight,S,0,0,1,0,1,1,0,0,0,0,0,0
365688,Fatal,2019,October,Saturday,16,Overturned,Single Vehicle,151.511332580777,-24.1450582707587,Turkey Beach Rd,Unknown,,Foreshores,Gladstone Region,4678,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,705.0,Off Path-Straight:Out Of Control On Cway,Out of control on straight,E,1,3,0,0,4,1,0,0,0,0,0,0
365689,Hospitalisation,2019,October,Thursday,3,Hit object,Single Vehicle,151.620229526017,-24.5409502843015,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Gindoran,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,704.0,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,N,0,2,0,0,2,1,0,0,0,0,0,0
365690,Medical treatment,2019,November,Sunday,6,Hit object,Single Vehicle,151.707003511888,-24.5932312929663,John Clifford Way,Unknown,,Lowmead,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Unsealed - Dry,Clear,Daylight,Curved - view open,Level,804.0,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,S,0,0,1,0,1,1,0,0,0,0,0,0
365691,Hospitalisation,2019,November,Monday,23,Hit object,Single Vehicle,151.558368555975,-24.3270182766941,Jinks St,Roe St,Bruce Highway (Gin Gin - Benaraby),Miriam Vale,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,805.0,Off Path-Curve: Out Of Control On Cway,Out of control on curve,S,0,1,1,0,2,1,0,0,0,0,0,0
365692,Hospitalisation,2019,November,Friday,3,Hit object,Single Vehicle,151.518413561551,-24.3106022727869,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Bororen,Gladstone Region,4678,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,704.0,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,S,0,2,0,0,2,1,0,0,0,0,0,0
365693,Hospitalisation,2019,December,Monday,10,Hit object,Single Vehicle,151.552973548297,-24.3996882767806,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,305.0,Veh'S Same Direction: Lane Side Swipe,Lane changes,N,0,1,2,0,3,1,1,0,0,0,0,0
365694,Hospitalisation,2020,January,Sunday,20,Fall from vehicle,Single Vehicle,151.558368555975,-24.3270182766941,Jinks St,Roe St,Bruce Highway (Gin Gin - Benaraby),Miriam Vale,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,Intersection - Cross,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,707.0,Off Path-Straight: Right Turn,Off carriageway on straight,S,0,1,0,0,1,0,1,0,0,0,0,0
365695,Hospitalisation,2020,March,Tuesday,6,Hit animal,Other,151.769722336301,-24.3177984066792,Round Hill Rd,Unknown,,Captain Creek,Gladstone Region,4677,Agnes Water,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,609.0,Pass & Misc: Hit Animal,Hit animal,S,0,1,0,0,1,1,0,0,0,0,0,0
365696,Hospitalisation,2020,May,Tuesday,7,Hit animal,Other,151.551723549251,-24.3922612766016,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,609.0,Pass & Misc: Hit Animal,Hit animal,S,0,1,0,1,2,1,0,0,0,0,0,0
365697,Hospitalisation,2020,July,Wednesday,12,Hit object,Single Vehicle,151.697138499185,-24.7130382930084,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Kolonga,Bundaberg Region,4671,Gin Gin,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Gin Gin,Burnett,Wide Bay,Outer Regional,Callide,Flynn,State-controlled,Bridge/Causeway,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,804.0,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,S,0,1,0,0,1,1,0,0,0,0,0,0
365698,Minor injury,2020,July,Friday,5,Hit animal,Other,151.502144742103,-24.2568350798112,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Bororen,Gladstone Region,4678,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,609.0,Pass & Misc: Hit Animal,Hit animal,S,0,0,0,1,1,1,0,0,0,0,0,0
365699,Hospitalisation,2020,August,Wednesday,23,Hit parked vehicle,Single Vehicle,151.640789334924,-24.5775871465503,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Gindoran,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Fog,Darkness - Not lighted,Straight,Level,601.0,Veh'S On Path: Parked,Hit parked vehicle,N,0,2,1,0,3,1,0,3,0,0,0,0
365700,Hospitalisation,2020,August,Thursday,8,Rear-end,Multi-Vehicle,151.637723520644,-24.5737962862286,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Gindoran,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Smoke/Dust,Daylight,Straight,Level,300.0,Veh'S Same Direction: Other,Other,S,0,2,0,1,3,0,0,3,0,0,0,0
365701,Hospitalisation,2020,September,Tuesday,0,Hit animal,Other,151.762113542578,-24.277533295623,Murphy Rd,Unknown,,Captain Creek,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,609.0,Pass & Misc: Hit Animal,Hit animal,N,0,1,0,0,1,0,1,0,0,0,0,0
365702,Hospitalisation,2020,October,Monday,19,Rear-end,Multi-Vehicle,151.613325144172,-24.5099907883938,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,N,0,1,0,0,1,2,0,0,0,0,0,0
365703,Hospitalisation,2020,October,Wednesday,11,Hit object,Single Vehicle,151.775241528999,-24.3863392977684,Round Hill Rd,Unknown,,Taunton,Gladstone Region,4674,Agnes Water,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Level,607.0,Veh'S On Path: Temporary Object On C'Way,Other,W,0,1,0,0,1,1,0,0,0,0,0,0
365704,Hospitalisation,2021,January,Sunday,10,Hit object,Single Vehicle,151.666869513484,-24.6125892893114,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Lowmead,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,703.0,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,N,0,1,0,0,1,1,0,0,0,0,0,0
365705,Hospitalisation,2021,January,Thursday,14,Rear-end,Multi-Vehicle,151.589669538152,-24.4590962807373,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,N,0,1,0,0,1,1,0,1,0,0,0,0
365706,Fatal,2021,January,Sunday,17,Hit object,Single Vehicle,151.72426051949,-24.5120582939431,Lowmead Rd,Unknown,,Lowmead,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,704.0,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,S,1,0,0,0,1,1,0,0,0,0,0,0
365707,Hospitalisation,2021,January,Saturday,23,Hit object,Single Vehicle,151.622251084365,-24.5538523505987,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Gindoran,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Crest,803.0,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,N,0,1,0,0,1,1,0,0,0,0,0,0
365708,Hospitalisation,2021,February,Saturday,12,Hit object,Single Vehicle,151.526216552571,-24.3839972741254,Blackmans Gap Rd,Unknown,,Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Unsealed - Dry,Clear,Daylight,Straight,Level,704.0,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,N,0,3,0,0,3,1,0,0,0,0,0,0
365709,Hospitalisation,2021,March,Tuesday,23,Sideswipe,Multi-Vehicle,151.520591560602,-24.3172452730469,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Bororen,Gladstone Region,4678,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,308.0,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,S,0,1,0,0,1,0,0,2,0,0,0,0
365710,Minor injury,2021,April,Sunday,16,Hit object,Single Vehicle,151.550525550085,-24.3858502764358,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,703.0,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,N,0,0,0,1,1,1,0,0,0,0,0,0
365711,Hospitalisation,2021,May,Thursday,6,Hit object,Single Vehicle,151.561032543225,-24.4379842778561,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Crest,804.0,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,E,0,1,0,0,1,1,0,0,0,0,0,0
365712,Hospitalisation,2021,July,Wednesday,18,Hit object,Single Vehicle,151.762803196015,-24.3700287204486,Round Hill Rd,Unknown,,Taunton,Gladstone Region,4674,Agnes Water,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Grade,804.0,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,S,0,1,0,0,1,1,0,0,0,0,0,0
365713,Hospitalisation,2021,July,Thursday,13,Hit object,Single Vehicle,151.490532573282,-24.2291902694897,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Bororen,Gladstone Region,4678,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,704.0,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,N,0,1,0,0,1,0,0,1,0,0,0,0
365714,Medical treatment,2021,July,Friday,18,Hit animal,Other,151.568094645323,-24.3247467195947,Fingerboard Rd,Unknown,Bundaberg - Miriam Vale Road,Miriam Vale,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,609.0,Pass & Misc: Hit Animal,Hit animal,E,0,0,2,0,2,1,0,0,0,0,0,0
365715,Medical treatment,2021,August,Wednesday,4,Hit object,Single Vehicle,151.57016805824,-24.1458809053207,Turkey Beach Rd,Unknown,,Rodds Bay,Gladstone Region,4678,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Crest,803.0,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,W,0,0,1,0,1,1,0,0,0,0,0,0
365716,Minor injury,2021,August,Tuesday,1,Hit object,Single Vehicle,151.670812780387,-24.6365631488819,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Lowmead,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Dip,703.0,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,S,0,0,0,1,1,0,0,1,0,0,0,0
365717,Hospitalisation,2021,August,Saturday,22,Rear-end,Multi-Vehicle,151.601918534274,-24.4832202820943,Bruce Hwy,Mcauliffe Rd,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,1,0,0,1,1,0,1,0,0,0,0
365718,Hospitalisation,2021,September,Thursday,7,Hit object,Single Vehicle,151.769019541304,-24.2831052963271,Murphy Rd,Unknown,,Captain Creek,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,703.0,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,E,0,1,0,0,1,1,0,0,0,0,0,0
365719,Medical treatment,2021,September,Saturday,1,Hit object,Single Vehicle,151.613388827271,-24.5090672313923,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Colosseum,Gladstone Region,4677,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,704.0,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,N,0,0,1,0,1,1,0,0,0,0,0,0
365720,Hospitalisation,2021,September,Tuesday,12,Head-on,Multi-Vehicle,151.697169253215,-24.712757493009,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Kolonga,Bundaberg Region,4671,Gin Gin,Wide Bay Burnett,North Coast,Southern,Southern Queensland,Gin Gin,Burnett,Wide Bay,Outer Regional,Callide,Flynn,State-controlled,Bridge/Causeway,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,201.0,Veh'S Opposite Approach: Head On,Head-on,N,0,1,0,0,1,2,0,0,0,0,0,0
365721,Hospitalisation,2021,October,Monday,10,Hit object,Single Vehicle,151.620320373756,-24.5431788423284,Bruce Hwy,Unknown,Bruce Highway (Gin Gin - Benaraby),Gindoran,Gladstone Region,4676,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Clear,Daylight,Straight,Level,201.0,Veh'S Opposite Approach: Head On,Head-on,N,0,1,1,0,2,1,0,1,0,0,0,0
365722,Hospitalisation,2021,November,Monday,5,Hit animal,Other,151.518345582043,-24.1279552712794,Foreshores Rd,Unknown,,Foreshores,Gladstone Region,4678,Miriam Vale,Capricornia,Central,Central,Central Queensland,Agnes Water - Miriam Vale,Gladstone,Central Queensland,Outer Regional,Burnett,Flynn,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Crest,609.0,Pass & Misc: Hit Animal,Hit animal,S,0,1,0,0,1,1,0,0,0,0,0,0
365723,Hospitalisation,2018,October,Monday,14,Rear-end,Multi-Vehicle,153.031415028112,-27.5127504459347,Ipswich Rd,Unknown,,Annerley,Brisbane City,4103,Annerley,South Brisbane,Brisbane,SEQ South,Metropolitan,Annerley,Holland Park - Yeronga,Brisbane - South,Major Cities,Miller,Moreton,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,S,0,1,0,0,1,2,0,0,0,0,0,0
365724,Medical treatment,2018,October,Friday,16,Rear-end,Multi-Vehicle,153.034404028742,-27.5052194461753,Herbert St,Ipswich Rd,,Annerley,Brisbane City,4103,Annerley,South Brisbane,Brisbane,SEQ South,Metropolitan,Annerley,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Moreton,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,W,0,0,1,0,1,2,0,0,0,0,0,0
365725,Medical treatment,2018,October,Saturday,7,Angle,Multi-Vehicle,153.026378030164,-27.5007944453345,Fairfield Rd,Princess St,,Fairfield,Brisbane City,4103,Annerley,South Brisbane,Brisbane,SEQ South,Metropolitan,Fairfield - Dutton Park,Holland Park - Yeronga,Brisbane - South,Major Cities,South Brisbane,Griffith,Locally-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,,0,0,1,0,1,1,0,1,0,0,0,0
365726,Minor injury,2018,October,Monday,5,Rear-end,Multi-Vehicle,153.039254028423,-27.5036234466498,Pacific Hwy,Unknown,South-East Arterial Road (Pacific Motorway),Greenslopes,Brisbane City,4120,Annerley,South Brisbane,Brisbane,SEQ South,Metropolitan,Greenslopes,Holland Park - Yeronga,Brisbane - South,Major Cities,Greenslopes,Griffith,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,N,0,0,0,1,1,8,0,0,0,0,0,0
365727,Hospitalisation,2018,October,Monday,5,Fall from vehicle,Single Vehicle,153.039371028514,-27.502797446655,Pacific Hwy,Unknown,South-East Arterial Road (Pacific Motorway),Greenslopes,Brisbane City,4120,Annerley,South Brisbane,Brisbane,SEQ South,Metropolitan,Greenslopes,Holland Park - Yeronga,Brisbane - South,Major Cities,Greenslopes,Griffith,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,900.0,Pass & Misc: Other,Other,N,0,1,0,0,1,1,1,0,0,0,0,0
